漢字,部首,画数,学年,追加年,読み
忍,心,7,S,NA,ニン、しの-ぶ、しの-ばせる
認,言,14,6,NA,ニン、みと-める
寧,宀,14,S,NA,ネイ
熱,火,15,4,NA,ネツ、あつ-い
年,干,6,1,NA,ネン、とし
念,心,8,4,NA,ネン
捻,手,11,S,2010,ネン
粘,米,11,S,NA,ネン、ねば-る
燃,火,16,5,NA,ネン、も-える、も-やす、も-す
悩,心,10,S,NA,ノウ、なや-む、なや-ます
納,糸,10,6,NA,ノウ、（ナッ）、（ナ）、（ナン）、（トウ）、おさ-める、おさ-まる
能,肉,10,5,NA,ノウ
脳,肉,11,6,NA,ノウ
農,辰,13,3,NA,ノウ
濃,水,16,S,NA,ノウ、こ-い
把,手,7,S,1981,ハ
波,水,8,3,NA,ハ、なみ
派,水,9,6,NA,ハ
破,石,10,5,NA,ハ、やぶ-る、やぶ-れる
覇,襾,19,S,1981,ハ
馬,馬,10,2,NA,バ、うま、（ま）
婆,女,11,S,NA,バ
罵,网,15,S,2010,バ、ののし-る
拝,手,8,6,NA,ハイ、おが-む
杯,木,8,S,NA,ハイ、さかずき
背,肉,9,6,NA,ハイ、せ、せい、そむ-く、そむ-ける
肺,肉,9,6,NA,ハイ
俳,人,10,6,NA,ハイ
配,酉,10,3,NA,ハイ、くば-る
排,手,11,S,NA,ハイ
敗,攴,11,4,NA,ハイ、やぶ-れる
廃,广,12,S,NA,ハイ、すた-れる、すた-る
輩,車,15,S,NA,ハイ
売,貝,7,2,NA,バイ、う-る、う-れる
倍,人,10,3,NA,バイ
梅,木,10,4,NA,バイ、うめ
培,土,11,S,NA,バイ、つちか-う
陪,阜,11,S,NA,バイ
媒,女,12,S,NA,バイ
買,貝,12,2,NA,バイ、か-う
賠,貝,15,S,NA,バイ
白,白,5,1,NA,ハク、ビャク、しろ、（しら）、しろ-い
伯,人,7,S,NA,ハク
拍,手,8,S,NA,ハク、（ヒョウ）
泊,水,8,S,NA,ハク、と-まる、と-める
迫,辵,8,S,NA,ハク、せま-る
剝,刀,10,S,2010,ハク、は-がす、は-ぐ、は-がれる、は-げる
舶,舟,11,S,NA,ハク
博,十,12,4,NA,ハク、（バク）
薄,艸,16,S,NA,ハク、うす-い、うす-める、うす-まる、うす-らぐ、うす-れる
麦,麥,7,2,NA,バク、むぎ
漠,水,13,S,1981,バク
縛,糸,16,S,NA,バク、しば-る
爆,火,19,S,NA,バク
箱,竹,15,3,NA,はこ
箸,竹,15,S,2010,はし
畑,田,9,3,NA,はた、はたけ
肌,肉,6,S,1981,はだ
八,八,2,1,NA,ハチ、や、や-つ、やっ-つ、（よう）
鉢,金,13,S,1981,ハチ、（ハツ）
発,癶,9,3,NA,ハツ、ホツ
髪,髟,14,S,NA,ハツ、かみ
伐,人,6,S,NA,バツ
抜,手,7,S,NA,バツ、ぬ-く、ぬ-ける、ぬ-かす、ぬ-かる
罰,网,14,S,NA,バツ、バチ
閥,門,14,S,NA,バツ
反,又,4,3,NA,ハン、（ホン）、（タン）、そ-る、そ-らす
半,十,5,2,NA,ハン、なか-ば
氾,水,5,S,2010,ハン
犯,犬,5,5,NA,ハン、おか-す
帆,巾,6,S,NA,ハン、ほ
汎,水,6,S,2010,ハン
伴,人,7,S,NA,ハン、バン、ともな-う
判,刀,7,5,NA,ハン、バン
坂,土,7,3,NA,ハン、さか
阪,阜,7,4,2010,ハン
板,木,8,3,NA,ハン、バン、いた
版,片,8,5,NA,ハン
班,玉,10,6,NA,ハン
畔,田,10,S,NA,ハン
般,舟,10,S,NA,ハン
販,貝,11,S,NA,ハン
斑,文,12,S,2010,ハン
飯,食,12,4,NA,ハン、めし
搬,手,13,S,NA,ハン
煩,火,13,S,NA,ハン、（ボン）、わずら-う、わずら-わす
頒,頁,13,S,NA,ハン
範,竹,15,S,NA,ハン
繁,糸,16,S,NA,ハン
藩,艸,18,S,NA,ハン
晩,日,12,6,NA,バン
番,田,12,2,NA,バン
蛮,虫,12,S,NA,バン
盤,皿,15,S,NA,バン
比,比,4,5,NA,ヒ、くら-べる
皮,皮,5,3,NA,ヒ、かわ
妃,女,6,S,NA,ヒ
否,口,7,6,NA,ヒ、いな
批,手,7,6,NA,ヒ
彼,彳,8,S,NA,ヒ、かれ、（かの）
披,手,8,S,1981,ヒ
肥,肉,8,5,NA,ヒ、こ-える、こえ、こ-やす、こ-やし
非,非,8,5,NA,ヒ
卑,十,9,S,NA,ヒ、いや-しい、いや-しむ、いや-しめる
飛,飛,9,4,NA,ヒ、と-ぶ、と-ばす
疲,疒,10,S,NA,ヒ、つか-れる
秘,示,10,6,NA,ヒ、ひ-める
被,衣,10,S,NA,ヒ、こうむ-る
悲,心,12,3,NA,ヒ、かな-しい、かな-しむ
扉,戶,12,S,1981,ヒ、とびら
費,貝,12,5,NA,ヒ、つい-やす、つい-える
碑,石,14,S,NA,ヒ
罷,网,15,S,NA,ヒ
避,辵,16,S,NA,ヒ、さ-ける
尾,尸,7,S,NA,ビ、お
眉,目,9,S,2010,ビ、（ミ）、まゆ
美,羊,9,3,NA,ビ、うつく-しい
備,人,12,5,NA,ビ、そな-える、そな-わる
微,彳,13,S,NA,ビ
鼻,鼻,14,3,NA,ビ、はな
膝,肉,15,S,2010,ひざ
肘,肉,7,S,2010,ひじ
匹,匸,4,S,NA,ヒツ、ひき
必,心,5,4,NA,ヒツ、かなら-ず
泌,水,8,S,NA,ヒツ、ヒ
筆,竹,12,3,NA,ヒツ、ふで
姫,女,10,S,NA,ひめ
百,白,6,1,NA,ヒャク
氷,水,5,3,NA,ヒョウ、こおり、ひ
表,衣,8,3,NA,ヒョウ、おもて、あらわ-す、あらわ-れる
俵,人,10,6,NA,ヒョウ、たわら
票,示,11,4,NA,ヒョウ
評,言,12,5,NA,ヒョウ
漂,水,14,S,NA,ヒョウ、ただよ-う
標,木,15,4,NA,ヒョウ
苗,艸,8,S,NA,ビョウ、なえ、（なわ）
秒,禾,9,3,NA,ビョウ
病,疒,10,3,NA,ビョウ、（ヘイ）、や-む、やまい
描,手,11,S,NA,ビョウ、えが-く、か-く
猫,犬,11,S,1981,ビョウ、ねこ
品,口,9,3,NA,ヒン、しな
浜,水,10,S,NA,ヒン、はま
貧,貝,11,5,NA,ヒン、ビン、まず-しい
賓,貝,15,S,NA,ヒン
頻,頁,17,S,1981,ヒン
敏,攴,10,S,NA,ビン
瓶,瓦,11,S,1981,ビン
不,一,4,4,NA,フ、ブ
夫,大,4,4,NA,フ、（フウ）、おっと
父,父,4,2,NA,フ、ちち
付,人,5,4,NA,フ、つ-ける、つ-く
布,巾,5,5,NA,フ、ぬの
扶,手,7,S,NA,フ
府,广,8,4,NA,フ
怖,心,8,S,NA,フ、こわ-い
阜,阜,8,4,2010,（フ）[7]
附,阜,8,S,NA,フ
訃,言,9,S,2010,フ
負,貝,9,3,NA,フ、ま-ける、ま-かす、お-う
赴,走,9,S,NA,フ、おもむ-く
浮,水,10,S,NA,フ、う-く、う-かれる、う-かぶ、う-かべる
婦,女,11,5,NA,フ
符,竹,11,S,NA,フ
富,宀,12,4,NA,フ、（フウ）、と-む、とみ
普,日,12,S,NA,フ
腐,肉,14,S,NA,フ、くさ-る、くさ-れる、くさ-らす
敷,攴,15,S,NA,フ、し-く
膚,肉,15,S,NA,フ
賦,貝,15,S,NA,フ
譜,言,19,S,NA,フ
侮,人,8,S,NA,ブ、あなど-る
武,止,8,5,NA,ブ、ム
部,邑,11,3,NA,ブ
舞,舛,15,S,NA,ブ、ま-う、まい
封,寸,9,S,NA,フウ、ホウ
風,風,9,2,NA,フウ、（フ）、かぜ、（かざ）
伏,人,6,S,NA,フク、ふ-せる、ふ-す
服,月,8,3,NA,フク
副,刀,11,4,NA,フク
幅,巾,12,S,NA,フク、はば
復,彳,12,5,NA,フク
福,示,13,3,NA,フク
腹,肉,13,6,NA,フク、はら
複,衣,14,5,NA,フク
覆,襾,18,S,NA,フク、おお-う、くつがえ-す、くつがえ-る
払,手,5,S,NA,フツ、はら-う
沸,水,8,S,NA,フツ、わ-く、わ-かす
仏,人,4,5,NA,ブツ、ほとけ
物,牛,8,3,NA,ブツ、モツ、もの
粉,米,10,5,NA,フン、こ、こな
紛,糸,10,S,NA,フン、まぎ-れる、まぎ-らす、まぎ-らわす、まぎ-らわしい
雰,雨,12,S,1981,フン
噴,口,15,S,NA,フン、ふ-く
墳,土,15,S,NA,フン
憤,心,15,S,NA,フン、いきどお-る
奮,大,16,6,NA,フン、ふる-う
分,刀,4,2,NA,ブン、フン、ブ、わ-ける、わ-かれる、わ-かる、わ-かつ
文,文,4,1,NA,ブン、モン、ふみ
聞,耳,14,2,NA,ブン、モン、き-く、き-こえる
丙,一,5,S,NA,ヘイ
平,干,5,3,NA,ヘイ、ビョウ、たい-ら、ひら
兵,八,7,4,NA,ヘイ、ヒョウ
併,人,8,S,NA,ヘイ、あわ-せる
並,立,8,6,NA,ヘイ、なみ、なら-べる、なら-ぶ、なら-びに
柄,木,9,S,NA,ヘイ、がら、え
陛,阜,10,6,NA,ヘイ
閉,門,11,6,NA,ヘイ、と-じる、と-ざす、し-める、し-まる
塀,土,12,S,1981,ヘイ
幣,巾,15,S,NA,ヘイ
弊,廾,15,S,NA,ヘイ
蔽,艸,15,S,2010,ヘイ
餅,食,15,S,2010,ヘイ、もち
米,米,6,2,NA,ベイ、マイ、こめ
壁,土,16,S,NA,ヘキ、かべ
璧,玉,18,S,2010,ヘキ
癖,疒,18,S,NA,ヘキ、くせ
別,刀,7,4,NA,ベツ、わか-れる
蔑,艸,14,S,2010,ベツ、さげす-む
片,片,4,6,NA,ヘン、かた
辺,辵,5,4,NA,ヘン、あた-り、べ
返,辵,7,3,NA,ヘン、かえ-す、かえ-る
変,言,9,4,NA,ヘン、か-わる、か-える
偏,人,11,S,NA,ヘン、かたよ-る
遍,辵,12,S,NA,ヘン
編,糸,15,5,NA,ヘン、あ-む
弁,廾,5,5,NA,ベン
便,人,9,4,NA,ベン、ビン、たよ-り
勉,力,10,3,NA,ベン
歩,止,8,2,NA,ホ、ブ、（フ）、ある-く、あゆ-む
保,人,9,5,NA,ホ、たも-つ
哺,口,10,S,2010,ホ
捕,手,10,S,NA,ホ、と-らえる、と-らわれる、と-る、つか-まえる、つか-まる
補,衣,12,6,NA,ホ、おぎな-う
舗,舌,15,S,NA,ホ
母,毋,5,2,NA,ボ、はは
募,力,12,S,NA,ボ、つの-る
墓,土,13,5,NA,ボ、はか
慕,心,14,S,NA,ボ、した-う
暮,日,14,6,NA,ボ、く-れる、く-らす
簿,竹,19,S,NA,ボ
方,方,4,2,NA,ホウ、かた
包,勹,5,4,NA,ホウ、つつ-む
芳,艸,7,S,NA,ホウ、かんば-しい
邦,邑,7,S,NA,ホウ
奉,大,8,S,NA,ホウ、（ブ）、たてまつ-る
宝,宀,8,6,NA,ホウ、たから
抱,手,8,S,NA,ホウ、だ-く、いだ-く、かか-える
放,攴,8,3,NA,ホウ、はな-す、はな-つ、はな-れる、ほう-る
法,水,8,4,NA,ホウ、（ハッ）、（ホッ）
泡,水,8,S,1981,ホウ、あわ
胞,肉,9,S,NA,ホウ
俸,人,10,S,1981,ホウ
倣,人,10,S,NA,ホウ、なら-う
峰,山,10,S,NA,ホウ、みね
砲,石,10,S,NA,ホウ
崩,山,11,S,NA,ホウ、くず-れる、くず-す
訪,言,11,6,NA,ホウ、おとず-れる、たず-ねる
報,土,12,5,NA,ホウ、むく-いる
蜂,虫,13,S,2010,ホウ、はち
豊,豆,13,5,NA,ホウ、ゆた-か
飽,食,13,S,NA,ホウ、あ-きる、あ-かす
褒,衣,15,S,1981,ホウ、ほ-める
縫,糸,16,S,NA,ホウ、ぬ-う
亡,亠,3,6,NA,ボウ、（モウ）、な-い
乏,丿,4,S,NA,ボウ、とぼ-しい
忙,心,6,S,NA,ボウ、いそが-しい
坊,土,7,S,NA,ボウ、（ボッ）
妨,女,7,S,NA,ボウ、さまた-げる
忘,心,7,6,NA,ボウ、わす-れる
防,阜,7,5,NA,ボウ、ふせ-ぐ
房,戶,8,S,NA,ボウ、ふさ
肪,肉,8,S,NA,ボウ
某,木,9,S,NA,ボウ
冒,冂,9,S,NA,ボウ、おか-す
剖,刀,10,S,NA,ボウ
紡,糸,10,S,NA,ボウ、つむ-ぐ
望,月,11,4,NA,ボウ、モウ、のぞ-む
傍,人,12,S,NA,ボウ、かたわ-ら
帽,巾,12,S,NA,ボウ
棒,木,12,6,NA,ボウ
貿,貝,12,5,NA,ボウ
貌,豸,14,S,2010,ボウ
暴,日,15,5,NA,ボウ、（バク）、あば-く、あば-れる
膨,肉,16,S,NA,ボウ、ふく-らむ、ふく-れる
謀,言,16,S,NA,ボウ、（ム）、はか-る
頰,頁,16,S,2010,ほお
北,匕,5,2,NA,ホク、きた
木,木,4,1,NA,ボク、モク、き、（こ）
朴,木,6,S,1981,ボク
牧,牛,8,4,NA,ボク、まき
睦,目,13,S,2010,ボク
僕,人,14,S,1981,ボク
墨,土,14,S,NA,ボク、すみ
撲,手,15,S,NA,ボク
没,水,7,S,NA,ボツ
勃,力,9,S,2010,ボツ
堀,土,11,S,1981,ほり
本,木,5,1,NA,ホン、もと
奔,大,8,S,NA,ホン
翻,羽,18,S,NA,ホン、ひるがえ-る、ひるがえ-す
凡,几,3,S,NA,ボン、（ハン）
盆,皿,9,S,NA,ボン
麻,麻,11,S,NA,マ、あさ
摩,手,15,S,NA,マ
磨,石,16,S,1981,マ、みが-く
魔,鬼,21,S,NA,マ
毎,毋,6,2,NA,マイ
妹,女,8,2,NA,マイ、いもうと
枚,木,8,6,NA,マイ
昧,日,9,S,2010,マイ
埋,土,10,S,NA,マイ、う-める、う-まる、う-もれる
幕,巾,13,6,NA,マク、バク
膜,肉,14,S,NA,マク
枕,木,8,S,2010,まくら
又,又,2,S,NA,また
末,木,5,4,NA,マツ、バツ、すえ
抹,手,8,S,1981,マツ
万,艸,3,2,NA,マン、バン
満,水,12,4,NA,マン、み-ちる、み-たす
慢,心,14,S,NA,マン
漫,水,14,S,NA,マン
未,木,5,4,NA,ミ
味,口,8,3,NA,ミ、あじ、あじ-わう
魅,鬼,15,S,NA,ミ
岬,山,8,S,1981,みさき
密,宀,11,6,NA,ミツ
蜜,虫,14,S,2010,ミツ
脈,肉,10,5,NA,ミャク
妙,女,7,S,NA,ミョウ
民,氏,5,4,NA,ミン、たみ
眠,目,10,S,NA,ミン、ねむ-る、ねむ-い
矛,矛,5,S,NA,ム、ほこ
務,力,11,5,NA,ム、つと-める、つと-まる
無,火,12,4,NA,ム、ブ、な-い
夢,夕,13,5,NA,ム、ゆめ
霧,雨,19,S,NA,ム、きり
娘,女,10,S,NA,むすめ
名,口,6,1,NA,メイ、ミョウ、な
命,口,8,3,NA,メイ、ミョウ、いのち
明,日,8,2,NA,メイ、ミョウ、あ-かり、あか-るい、あか-るむ、あか-らむ、あき-らか、あ-ける、あ-く、あ-くる、あ-かす
迷,辵,9,5,NA,メイ、まよ-う
冥,冖,10,S,2010,メイ、ミョウ
盟,皿,13,6,NA,メイ
銘,金,14,S,NA,メイ
鳴,鳥,14,2,NA,メイ、な-く、な-る、な-らす
滅,水,13,S,NA,メツ、ほろ-びる、ほろ-ぼす
免,儿,8,S,NA,メン、まぬか-れる
面,面,9,3,NA,メン、おも、おもて、つら
綿,糸,14,5,NA,メン、わた
麺,麥,16,S,2010,メン
茂,艸,8,S,NA,モ、しげ-る
模,木,14,6,NA,モ、ボ
毛,毛,4,2,NA,モウ、け
妄,女,6,S,1981,モウ、ボウ
盲,目,8,S,NA,モウ
耗,耒,10,S,NA,モウ、（コウ）
猛,犬,11,S,NA,モウ
網,糸,14,S,NA,モウ、あみ
目,目,5,1,NA,モク、（ボク）、め、（ま）
黙,黑,15,S,NA,モク、だま-る
門,門,8,2,NA,モン、かど
紋,糸,10,S,NA,モン
問,口,11,3,NA,モン、と-う、と-い、（とん）
冶,冫,7,S,2010,ヤ
夜,夕,8,2,NA,ヤ、よ、よる
野,里,11,2,NA,ヤ、の
弥,弓,8,S,2010,や
厄,厂,4,S,1981,ヤク
役,彳,7,3,NA,ヤク、エキ
約,糸,9,4,NA,ヤク
訳,言,11,6,NA,ヤク、わけ
薬,艸,16,3,NA,ヤク、くすり
躍,足,21,S,NA,ヤク、おど-る
闇,門,17,S,2010,やみ
由,田,5,3,NA,ユ、ユウ、（ユイ）、よし
油,水,8,3,NA,ユ、あぶら
喩,口,12,S,2010,ユ
愉,心,12,S,NA,ユ
諭,言,16,S,NA,ユ、さと-す
輸,車,16,5,NA,ユ
癒,疒,18,S,1981,ユ、い-える、い-やす
唯,口,11,S,NA,ユイ、（イ）
友,又,4,2,NA,ユウ、とも
有,月,6,3,NA,ユウ、ウ、あ-る
勇,力,9,4,NA,ユウ、いさ-む
幽,幺,9,S,NA,ユウ
悠,心,11,S,1981,ユウ
郵,邑,11,6,NA,ユウ
湧,水,12,S,2010,ユウ、わ-く
猶,犬,12,S,NA,ユウ
裕,衣,12,S,NA,ユウ
遊,辵,12,3,NA,ユウ、（ユ）、あそ-ぶ
雄,隹,12,S,NA,ユウ、お、おす
誘,言,14,S,NA,ユウ、さそ-う
憂,心,15,S,NA,ユウ、うれ-える、うれ-い、う-い
融,虫,16,S,NA,ユウ
優,人,17,6,NA,ユウ、やさ-しい、すぐ-れる
与,臼,3,S,NA,ヨ、あた-える
予,亅,4,3,NA,ヨ
余,人,7,5,NA,ヨ、あま-る、あま-す
誉,言,13,S,NA,ヨ、ほま-れ
預,頁,13,6,NA,ヨ、あず-ける、あず-かる
幼,幺,5,6,NA,ヨウ、おさな-い
用,用,5,2,NA,ヨウ、もち-いる
羊,羊,6,3,NA,ヨウ、ひつじ
妖,女,7,S,2010,ヨウ、あや-しい
洋,水,9,3,NA,ヨウ
要,襾,9,4,NA,ヨウ、かなめ、い-る
容,宀,10,5,NA,ヨウ
庸,广,11,S,NA,ヨウ
揚,手,12,S,NA,ヨウ、あ-げる、あ-がる
揺,手,12,S,NA,ヨウ、ゆ-れる、ゆ-る、ゆ-らぐ、ゆ-るぐ、ゆ-する、ゆ-さぶる、ゆ-すぶる
葉,艸,12,3,NA,ヨウ、は
陽,阜,12,3,NA,ヨウ
溶,水,13,S,NA,ヨウ、と-ける、と-かす、と-く
腰,肉,13,S,NA,ヨウ、こし
様,木,14,3,NA,ヨウ、さま
瘍,疒,14,S,2010,ヨウ
踊,足,14,S,NA,ヨウ、おど-る、おど-り
窯,穴,15,S,NA,ヨウ、かま
養,食,15,4,NA,ヨウ、やしな-う
擁,手,16,S,NA,ヨウ
謡,言,16,S,NA,ヨウ、うたい、うた-う
曜,日,18,2,NA,ヨウ
抑,手,7,S,NA,ヨク、おさ-える
沃,水,7,S,2010,ヨク
浴,水,10,4,NA,ヨク、あ-びる、あ-びせる
欲,欠,11,6,NA,ヨク、ほっ-する、ほ-しい
翌,羽,11,6,NA,ヨク
翼,羽,17,S,NA,ヨク、つばさ
拉,手,8,S,2010,ラ
裸,衣,13,S,NA,ラ、はだか
羅,网,19,S,1981,ラ
来,人,7,2,NA,ライ、く-る、きた-る、きた-す
雷,雨,13,S,NA,ライ、かみなり
頼,貝,16,S,NA,ライ、たの-む、たの-もしい、たよ-る
絡,糸,12,S,NA,ラク、から-む、から-まる、から-める
落,艸,12,3,NA,ラク、お-ちる、お-とす
酪,酉,13,S,NA,ラク
辣,辛,14,S,2010,ラツ
乱,乙,7,6,NA,ラン、みだ-れる、みだ-す
卵,卩,7,6,NA,ラン、たまご
覧,見,17,6,NA,ラン
濫,水,18,S,NA,ラン
藍,艸,18,S,2010,ラン、あい
欄,木,20,S,NA,ラン
吏,口,6,S,NA,リ
利,刀,7,4,NA,リ、き-く
里,里,7,2,NA,リ、さと
理,玉,11,2,NA,リ
痢,疒,12,S,NA,リ
裏,衣,13,6,NA,リ、うら
履,尸,15,S,NA,リ、は-く
璃,玉,15,S,2010,リ
離,隹,19,S,NA,リ、はな-れる、はな-す
陸,阜,11,4,NA,リク
立,立,5,1,NA,リツ、（リュウ）、た-つ、た-てる
律,彳,9,6,NA,リツ、（リチ）
慄,心,13,S,2010,リツ
略,田,11,5,NA,リャク
柳,木,9,S,NA,リュウ、やなぎ
流,水,10,3,NA,リュウ、（ル）、なが-れる、なが-す
留,田,10,5,NA,リュウ、（ル）、と-める、と-まる
竜,龍,10,S,1981,リュウ、たつ
粒,米,11,S,NA,リュウ、つぶ
隆,阜,11,S,NA,リュウ
硫,石,12,S,NA,リュウ
侶,人,9,S,2010,リョ
旅,方,10,3,NA,リョ、たび
虜,虍,13,S,NA,リョ
慮,心,15,S,NA,リョ
了,亅,2,S,NA,リョウ
両,入,6,3,NA,リョウ
良,艮,7,4,NA,リョウ、よ-い
料,斗,10,4,NA,リョウ
涼,水,11,S,NA,リョウ、すず-しい、すず-む
猟,犬,11,S,NA,リョウ
陵,阜,11,S,NA,リョウ、みささぎ
量,里,12,4,NA,リョウ、はか-る
僚,人,14,S,NA,リョウ
領,頁,14,5,NA,リョウ
寮,宀,15,S,NA,リョウ
療,疒,17,S,NA,リョウ
瞭,目,17,S,2010,リョウ
糧,米,18,S,NA,リョウ、（ロウ）、かて
力,力,2,1,NA,リョク、リキ、ちから
緑,糸,14,3,NA,リョク、（ロク）、みどり
林,木,8,1,NA,リン、はやし
厘,厂,9,S,NA,リン
倫,人,10,S,NA,リン
輪,車,15,4,NA,リン、わ
隣,阜,16,S,NA,リン、とな-る、となり
臨,臣,18,6,NA,リン、のぞ-む
瑠,玉,14,S,2010,ル
涙,水,10,S,NA,ルイ、なみだ
累,糸,11,S,NA,ルイ
塁,土,12,S,NA,ルイ
類,頁,18,4,NA,ルイ、たぐ-い
令,人,5,4,NA,レイ
礼,示,5,3,NA,レイ、ライ
冷,冫,7,4,NA,レイ、つめ-たい、ひ-える、ひ-や、ひ-やす、ひ-やかす、さ-める、さ-ます
励,力,7,S,NA,レイ、はげ-む、はげ-ます
戻,戶,7,S,1981,レイ、もど-す、もど-る
例,人,8,4,NA,レイ、たと-える
鈴,金,13,S,NA,レイ、リン、すず
零,雨,13,S,NA,レイ
霊,雨,15,S,NA,レイ、リョウ、たま
隷,隶,16,S,NA,レイ
齢,齒,17,S,NA,レイ
麗,鹿,19,S,NA,レイ、うるわ-しい
暦,日,14,S,NA,レキ、こよみ
歴,止,14,5,NA,レキ
列,刀,6,3,NA,レツ
劣,力,6,S,NA,レツ、おと-る
烈,火,10,S,NA,レツ
裂,衣,12,S,NA,レツ、さ-く、さ-ける
恋,心,10,S,NA,レン、こ-う、こい、こい-しい
連,辵,10,4,NA,レン、つら-なる、つら-ねる、つ-れる
廉,广,13,S,NA,レン
練,糸,14,3,NA,レン、ね-る
錬,金,16,S,NA,レン
呂,口,7,S,2010,ロ
炉,火,8,S,NA,ロ
賂,貝,13,S,2010,ロ
路,足,13,3,NA,ロ、じ
露,雨,21,S,NA,ロ、（ロウ）、つゆ
老,老,6,4,NA,ロウ、お-いる、ふ-ける
労,力,7,4,NA,ロウ
弄,廾,7,S,2010,ロウ、もてあそ-ぶ
郎,邑,9,S,NA,ロウ
朗,月,10,6,NA,ロウ、ほが-らか
浪,水,10,S,NA,ロウ
廊,广,12,S,NA,ロウ
楼,木,13,S,NA,ロウ
漏,水,14,S,NA,ロウ、も-る、も-れる、も-らす
籠,竹,22,S,2010,ロウ、かご、こ-もる
六,八,4,1,NA,ロク、む、む-つ、むっ-つ、（むい）
録,金,16,4,NA,ロク
